ticker,enabled,group,max_price,note
MMM,True,SP500,10000,
AOS,True,SP500,10000,
ABT,True,SP500,10000,
ABBV,True,SP500,10000,
ACN,True,SP500,10000,
ADBE,True,SP500,10000,
AMD,True,SP500,10000,
AES,True,SP500,10000,
AFL,True,SP500,10000,
A,True,SP500,10000,
APD,True,SP500,10000,
ABNB,True,SP500,10000,
AKAM,True,SP500,10000,
ALB,True,SP500,10000,
ARE,True,SP500,10000,
ALGN,True,SP500,10000,
ALLE,True,SP500,10000,
LNT,True,SP500,10000,
ALL,True,SP500,10000,
GOOGL,True,SP500,10000,
GOOG,True,SP500,10000,
MO,True,SP500,10000,
AMZN,True,SP500,10000,
AMCR,True,SP500,10000,
AEE,True,SP500,10000,
AEP,True,SP500,10000,
AXP,True,SP500,10000,
AIG,True,SP500,10000,
AMT,True,SP500,10000,
AWK,True,SP500,10000,
AMP,True,SP500,10000,
AME,True,SP500,10000,
AMGN,True,SP500,10000,
APH,True,SP500,10000,
ADI,True,SP500,10000,
AON,True,SP500,10000,
APA,True,SP500,10000,
APO,True,SP500,10000,
AAPL,True,SP500,10000,
AMAT,True,SP500,10000,
APTV,True,SP500,10000,
ACGL,True,SP500,10000,
ADM,True,SP500,10000,
ANET,True,SP500,10000,
AJG,True,SP500,10000,
AIZ,True,SP500,10000,
T,True,SP500,10000,
ATO,True,SP500,10000,
ADSK,True,SP500,10000,
ADP,True,SP500,10000,
AZO,True,SP500,10000,
AVB,True,SP500,10000,
AVY,True,SP500,10000,
AXON,True,SP500,10000,
BKR,True,SP500,10000,
BALL,True,SP500,10000,
BAC,True,SP500,10000,
BAX,True,SP500,10000,
BDX,True,SP500,10000,
BRK-B,True,SP500,10000,
BBY,True,SP500,10000,
TECH,True,SP500,10000,
BIIB,True,SP500,10000,
BLK,True,SP500,10000,
BX,True,SP500,10000,
XYZ,True,SP500,10000,
BK,True,SP500,10000,
BA,True,SP500,10000,
BKNG,True,SP500,10000,
BSX,True,SP500,10000,
BMY,True,SP500,10000,
AVGO,True,SP500,10000,
BR,True,SP500,10000,
BRO,True,SP500,10000,
BF-B,True,SP500,10000,
BLDR,True,SP500,10000,
BG,True,SP500,10000,
BXP,True,SP500,10000,
CHRW,True,SP500,10000,
CDNS,True,SP500,10000,
CZR,True,SP500,10000,
CPT,True,SP500,10000,
CPB,True,SP500,10000,
COF,True,SP500,10000,
CAH,True,SP500,10000,
KMX,True,SP500,10000,
CCL,True,SP500,10000,
CARR,True,SP500,10000,
CAT,True,SP500,10000,
CBOE,True,SP500,10000,
CBRE,True,SP500,10000,
CDW,True,SP500,10000,
COR,True,SP500,10000,
CNC,True,SP500,10000,
CNP,True,SP500,10000,
CF,True,SP500,10000,
CRL,True,SP500,10000,
SCHW,True,SP500,10000,
CHTR,True,SP500,10000,
CVX,True,SP500,10000,
CMG,True,SP500,10000,
CB,True,SP500,10000,
CHD,True,SP500,10000,
CI,True,SP500,10000,
CINF,True,SP500,10000,
CTAS,True,SP500,10000,
CSCO,True,SP500,10000,
C,True,SP500,10000,
CFG,True,SP500,10000,
CLX,True,SP500,10000,
CME,True,SP500,10000,
CMS,True,SP500,10000,
KO,True,SP500,10000,
CTSH,True,SP500,10000,
COIN,True,SP500,10000,
CL,True,SP500,10000,
CMCSA,True,SP500,10000,
CAG,True,SP500,10000,
COP,True,SP500,10000,
ED,True,SP500,10000,
STZ,True,SP500,10000,
CEG,True,SP500,10000,
COO,True,SP500,10000,
CPRT,True,SP500,10000,
GLW,True,SP500,10000,
CPAY,True,SP500,10000,
CTVA,True,SP500,10000,
CSGP,True,SP500,10000,
COST,True,SP500,10000,
CTRA,True,SP500,10000,
CRWD,True,SP500,10000,
CCI,True,SP500,10000,
CSX,True,SP500,10000,
CMI,True,SP500,10000,
CVS,True,SP500,10000,
DHR,True,SP500,10000,
DRI,True,SP500,10000,
DDOG,True,SP500,10000,
DVA,True,SP500,10000,
DAY,True,SP500,10000,
DECK,True,SP500,10000,
DE,True,SP500,10000,
DELL,True,SP500,10000,
DAL,True,SP500,10000,
DVN,True,SP500,10000,
DXCM,True,SP500,10000,
FANG,True,SP500,10000,
DLR,True,SP500,10000,
DG,True,SP500,10000,
DLTR,True,SP500,10000,
D,True,SP500,10000,
DPZ,True,SP500,10000,
DASH,True,SP500,10000,
DOV,True,SP500,10000,
DOW,True,SP500,10000,
DHI,True,SP500,10000,
DTE,True,SP500,10000,
DUK,True,SP500,10000,
DD,True,SP500,10000,
EMN,True,SP500,10000,
ETN,True,SP500,10000,
EBAY,True,SP500,10000,
ECL,True,SP500,10000,
EIX,True,SP500,10000,
EW,True,SP500,10000,
EA,True,SP500,10000,
ELV,True,SP500,10000,
EMR,True,SP500,10000,
ENPH,True,SP500,10000,
ETR,True,SP500,10000,
EOG,True,SP500,10000,
EPAM,True,SP500,10000,
EQT,True,SP500,10000,
EFX,True,SP500,10000,
EQIX,True,SP500,10000,
EQR,True,SP500,10000,
ERIE,True,SP500,10000,
ESS,True,SP500,10000,
EL,True,SP500,10000,
EG,True,SP500,10000,
EVRG,True,SP500,10000,
ES,True,SP500,10000,
EXC,True,SP500,10000,
EXE,True,SP500,10000,
EXPE,True,SP500,10000,
EXPD,True,SP500,10000,
EXR,True,SP500,10000,
XOM,True,SP500,10000,
FFIV,True,SP500,10000,
FDS,True,SP500,10000,
FICO,True,SP500,10000,
FAST,True,SP500,10000,
FRT,True,SP500,10000,
FDX,True,SP500,10000,
FIS,True,SP500,10000,
FITB,True,SP500,10000,
FSLR,True,SP500,10000,
FE,True,SP500,10000,
FI,True,SP500,10000,
F,True,SP500,10000,
FTNT,True,SP500,10000,
